"Crime_Type","Year","Region","Total_Crimes"
"Misdrijven, totaal","2010","Noord-Brabant (PV)",176065
"Misdrijven, totaal","2011","Noord-Brabant (PV)",174345
"Misdrijven, totaal","2012","Noord-Brabant (PV)",172340
"Misdrijven, totaal","2013","Noord-Brabant (PV)",164440
"Misdrijven, totaal","2014","Noord-Brabant (PV)",152130
"Misdrijven, totaal","2015","Noord-Brabant (PV)",145560
"Misdrijven, totaal","2016","Noord-Brabant (PV)",135220
"Misdrijven, totaal","2017","Noord-Brabant (PV)",118795
"Misdrijven, totaal","2018","Noord-Brabant (PV)",112580
"Misdrijven, totaal","2019","Noord-Brabant (PV)",119540
"Misdrijven, totaal","2020","Noord-Brabant (PV)",120340
"Misdrijven, totaal","2021","Noord-Brabant (PV)",113905
"Misdrijven, totaal","2022","Noord-Brabant (PV)",119240
"Misdrijven, totaal","2023*","Noord-Brabant (PV)",120235
"Misdrijven, totaal","2024*","Noord-Brabant (PV)",117060
"Misdrijven, totaal","2010","Limburg (PV)",85495
"Misdrijven, totaal","2011","Limburg (PV)",87010
"Misdrijven, totaal","2012","Limburg (PV)",82725
"Misdrijven, totaal","2013","Limburg (PV)",77580
"Misdrijven, totaal","2014","Limburg (PV)",74285
"Misdrijven, totaal","2015","Limburg (PV)",68995
"Misdrijven, totaal","2016","Limburg (PV)",63025
"Misdrijven, totaal","2017","Limburg (PV)",56585
"Misdrijven, totaal","2018","Limburg (PV)",52330
"Misdrijven, totaal","2019","Limburg (PV)",54315
"Misdrijven, totaal","2020","Limburg (PV)",51270
"Misdrijven, totaal","2021","Limburg (PV)",48790
"Misdrijven, totaal","2022","Limburg (PV)",53275
"Misdrijven, totaal","2023*","Limburg (PV)",53010
"Misdrijven, totaal","2024*","Limburg (PV)",52860
"Misdrijven, totaal","2010","Niet in te delen (PV)",2400
"Misdrijven, totaal","2011","Niet in te delen (PV)",2130
"Misdrijven, totaal","2012","Niet in te delen (PV)",1720
"Misdrijven, totaal","2013","Niet in te delen (PV)",1380
"Misdrijven, totaal","2014","Niet in te delen (PV)",1420
"Misdrijven, totaal","2015","Niet in te delen (PV)",1665
"Misdrijven, totaal","2016","Niet in te delen (PV)",1135
"Misdrijven, totaal","2017","Niet in te delen (PV)",1640
"Misdrijven, totaal","2018","Niet in te delen (PV)",1720
"Misdrijven, totaal","2019","Niet in te delen (PV)",1920
"Misdrijven, totaal","2020","Niet in te delen (PV)",935
"Misdrijven, totaal","2021","Niet in te delen (PV)",700
"Misdrijven, totaal","2022","Niet in te delen (PV)",725
"Misdrijven, totaal","2023*","Niet in te delen (PV)",865
"Misdrijven, totaal","2024*","Niet in te delen (PV)",615
"Bron: CBS.","","",NA
